instance,database,test_time,db_name,batch_id,query_id,query_time
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,1,8.954
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,2,35.696
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,3,14.242
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,4,12.301
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,5,25.724
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,6,5.702
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,7,26.964
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,8,21.521
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,9,20.085
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,10,14.470
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,11,11.287
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,12,12.056
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,13,15.802
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,14,11.724
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,15,26.124
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,16,18.501
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,17,13.181
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,18,20.855
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,19,7.169
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,20,20.674
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,21,43.471
dc2.large,redshift,2018-12-06-05:29:10,tpch_1g,1,22,17.674
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,1,0.016
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,2,0.017
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,3,0.013
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,4,0.012
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,5,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,6,0.013
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,7,0.015
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,8,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,9,0.015
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,10,0.015
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,11,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,12,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,13,0.012
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,14,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,15,0.483
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,16,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,17,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,18,0.013
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,19,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,20,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,21,0.014
dc2.large,redshift,2018-12-06-05:35:59,tpch_1g,1,22,0.014
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,1,1.816
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,2,2.265
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,3,2.738
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,4,3.296
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,5,0.506
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,6,0.407
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,7,2.718
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,8,2.851
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,9,11.289
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,10,0.798
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,11,2.195
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,12,2.803
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,13,0.924
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,14,0.367
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,15,2.857
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,16,0.274
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,17,1.220
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,18,1.968
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,19,0.605
dc2.large,redshift,2018-12-06-05:36:03,tpch_1g,2,20,0.956
