test_time,database,db_type,query_id,query_time
2018-12-04-05:28:15,tpch_1g,redshift,1,13.366
2018-12-04-05:28:15,tpch_1g,redshift,2,46.410
2018-12-04-05:28:15,tpch_1g,redshift,3,13.777
2018-12-04-05:28:15,tpch_1g,redshift,4,11.045
2018-12-04-05:28:15,tpch_1g,redshift,5,35.125
2018-12-04-05:28:15,tpch_1g,redshift,6,8.881
2018-12-04-05:28:15,tpch_1g,redshift,7,33.884
2018-12-04-05:28:15,tpch_1g,redshift,8,17.777
2018-12-04-05:28:15,tpch_1g,redshift,9,16.392
2018-12-04-05:28:15,tpch_1g,redshift,10,13.821
2018-12-04-05:28:15,tpch_1g,redshift,11,11.999
2018-12-04-05:28:15,tpch_1g,redshift,12,10.581
2018-12-04-05:28:15,tpch_1g,redshift,13,14.543
2018-12-04-05:28:15,tpch_1g,redshift,14,11.175
2018-12-04-05:28:15,tpch_1g,redshift,15,25.311
2018-12-04-05:28:15,tpch_1g,redshift,16,16.943
2018-12-04-05:28:15,tpch_1g,redshift,17,14.085
2018-12-04-05:28:15,tpch_1g,redshift,18,20.351
2018-12-04-05:28:15,tpch_1g,redshift,19,6.892
2018-12-04-05:28:15,tpch_1g,redshift,20,32.687
2018-12-04-05:28:15,tpch_1g,redshift,21,43.795
2018-12-04-05:28:15,tpch_1g,redshift,22,14.938
2018-12-04-05:36:27,tpch_1g,redshift,1,1.818
2018-12-04-05:36:27,tpch_1g,redshift,2,0.240
2018-12-04-05:36:27,tpch_1g,redshift,3,0.723
2018-12-04-05:36:27,tpch_1g,redshift,4,1.228
2018-12-04-05:36:27,tpch_1g,redshift,5,0.506
2018-12-04-05:36:27,tpch_1g,redshift,6,0.408
2018-12-04-05:36:27,tpch_1g,redshift,7,0.685
2018-12-04-05:36:27,tpch_1g,redshift,8,0.504
2018-12-04-05:36:27,tpch_1g,redshift,9,1.033
2018-12-04-05:36:27,tpch_1g,redshift,10,0.780
2018-12-04-05:36:27,tpch_1g,redshift,11,0.157
2018-12-04-05:36:27,tpch_1g,redshift,12,0.515
2018-12-04-05:36:27,tpch_1g,redshift,13,0.870
2018-12-04-05:36:27,tpch_1g,redshift,14,0.378
2018-12-04-05:36:27,tpch_1g,redshift,15,0.490
2018-12-04-05:36:27,tpch_1g,redshift,16,0.356
2018-12-04-05:36:27,tpch_1g,redshift,17,0.564
2018-12-04-05:36:27,tpch_1g,redshift,18,1.827
2018-12-04-05:36:27,tpch_1g,redshift,19,0.592
2018-12-04-05:36:27,tpch_1g,redshift,20,0.571
2018-12-04-05:36:27,tpch_1g,redshift,21,1.745
2018-12-04-05:36:27,tpch_1g,redshift,22,0.279
2018-12-04-05:36:46,tpch_1g,redshift,1,1.873
2018-12-04-05:36:46,tpch_1g,redshift,2,0.232
2018-12-04-05:36:46,tpch_1g,redshift,3,0.751
2018-12-04-05:36:46,tpch_1g,redshift,4,1.213
2018-12-04-05:36:46,tpch_1g,redshift,5,0.510
2018-12-04-05:36:46,tpch_1g,redshift,6,0.404
2018-12-04-05:36:46,tpch_1g,redshift,7,0.683
2018-12-04-05:36:46,tpch_1g,redshift,8,0.506
2018-12-04-05:36:46,tpch_1g,redshift,9,0.969
2018-12-04-05:36:46,tpch_1g,redshift,10,0.784
2018-12-04-05:36:46,tpch_1g,redshift,11,0.151
2018-12-04-05:36:46,tpch_1g,redshift,12,0.516
2018-12-04-05:36:46,tpch_1g,redshift,13,0.920
2018-12-04-05:36:46,tpch_1g,redshift,14,0.375
2018-12-04-05:36:46,tpch_1g,redshift,15,0.596
2018-12-04-05:36:46,tpch_1g,redshift,16,0.364
2018-12-04-05:36:46,tpch_1g,redshift,17,0.568
2018-12-04-05:36:46,tpch_1g,redshift,18,1.859
2018-12-04-05:36:46,tpch_1g,redshift,19,0.596
2018-12-04-05:36:46,tpch_1g,redshift,20,0.570
2018-12-04-05:36:46,tpch_1g,redshift,21,1.777
2018-12-04-05:36:46,tpch_1g,redshift,22,0.317
2018-12-04-05:37:07,tpch_1g,redshift,1,1.821
2018-12-04-05:37:07,tpch_1g,redshift,2,0.236
2018-12-04-05:37:07,tpch_1g,redshift,3,0.725
2018-12-04-05:37:07,tpch_1g,redshift,4,1.237
2018-12-04-05:37:07,tpch_1g,redshift,5,0.529
2018-12-04-05:37:07,tpch_1g,redshift,6,0.405
2018-12-04-05:37:07,tpch_1g,redshift,7,0.682
2018-12-04-05:37:07,tpch_1g,redshift,8,0.507
2018-12-04-05:37:07,tpch_1g,redshift,9,0.993
2018-12-04-05:37:07,tpch_1g,redshift,10,0.787
2018-12-04-05:37:07,tpch_1g,redshift,11,0.154
2018-12-04-05:37:07,tpch_1g,redshift,12,0.518
2018-12-04-05:37:07,tpch_1g,redshift,13,0.986
2018-12-04-05:37:07,tpch_1g,redshift,14,0.378
2018-12-04-05:37:07,tpch_1g,redshift,15,0.491
2018-12-04-05:37:07,tpch_1g,redshift,16,0.354
2018-12-04-05:37:07,tpch_1g,redshift,17,0.579
2018-12-04-05:37:07,tpch_1g,redshift,18,1.887
2018-12-04-05:37:07,tpch_1g,redshift,19,0.591
2018-12-04-05:37:07,tpch_1g,redshift,20,0.571
2018-12-04-05:37:07,tpch_1g,redshift,21,1.714
2018-12-04-05:37:07,tpch_1g,redshift,22,0.275
2018-12-04-05:38:59,tpch_3g,redshift,1,5.437
2018-12-04-05:38:59,tpch_3g,redshift,2,4.538
2018-12-04-05:38:59,tpch_3g,redshift,3,2.210
2018-12-04-05:38:59,tpch_3g,redshift,4,3.804
2018-12-04-05:38:59,tpch_3g,redshift,5,5.441
2018-12-04-05:38:59,tpch_3g,redshift,6,1.176
2018-12-04-05:38:59,tpch_3g,redshift,7,3.877
2018-12-04-05:38:59,tpch_3g,redshift,8,3.373
2018-12-04-05:38:59,tpch_3g,redshift,9,5.123
2018-12-04-05:38:59,tpch_3g,redshift,10,2.298
2018-12-04-05:38:59,tpch_3g,redshift,11,4.343
2018-12-04-05:38:59,tpch_3g,redshift,12,3.697
2018-12-04-05:38:59,tpch_3g,redshift,13,3.074
2018-12-04-05:38:59,tpch_3g,redshift,14,1.083
2018-12-04-05:38:59,tpch_3g,redshift,15,7.268
2018-12-04-05:38:59,tpch_3g,redshift,16,2.762
2018-12-04-05:38:59,tpch_3g,redshift,17,1.585
2018-12-04-05:38:59,tpch_3g,redshift,18,9.735
2018-12-04-05:38:59,tpch_3g,redshift,19,3.998
2018-12-04-05:38:59,tpch_3g,redshift,20,7.807
2018-12-04-05:38:59,tpch_3g,redshift,21,10.977
2018-12-04-05:38:59,tpch_3g,redshift,22,0.720
2018-12-04-05:41:05,tpch_3g,redshift,1,5.410
2018-12-04-05:41:05,tpch_3g,redshift,2,0.507
2018-12-04-05:41:05,tpch_3g,redshift,3,2.166
2018-12-04-05:41:05,tpch_3g,redshift,4,3.862
2018-12-04-05:41:05,tpch_3g,redshift,5,1.448
2018-12-04-05:41:05,tpch_3g,redshift,6,1.228
2018-12-04-05:41:05,tpch_3g,redshift,7,1.955
2018-12-04-05:41:05,tpch_3g,redshift,8,1.386
2018-12-04-05:41:05,tpch_3g,redshift,9,3.001
2018-12-04-05:41:05,tpch_3g,redshift,10,2.290
2018-12-04-05:41:05,tpch_3g,redshift,11,0.349
2018-12-04-05:41:05,tpch_3g,redshift,12,1.481
2018-12-04-05:41:05,tpch_3g,redshift,13,2.921
2018-12-04-05:41:05,tpch_3g,redshift,14,1.072
2018-12-04-05:41:05,tpch_3g,redshift,15,1.297
2018-12-04-05:41:05,tpch_3g,redshift,16,0.808
2018-12-04-05:41:05,tpch_3g,redshift,17,1.597
2018-12-04-05:41:05,tpch_3g,redshift,18,5.711
2018-12-04-05:41:05,tpch_3g,redshift,19,1.722
2018-12-04-05:41:05,tpch_3g,redshift,20,1.574
2018-12-04-05:41:05,tpch_3g,redshift,21,4.974
2018-12-04-05:41:05,tpch_3g,redshift,22,0.731
2018-12-04-05:42:03,tpch_3g,redshift,1,5.438
2018-12-04-05:42:03,tpch_3g,redshift,2,0.504
2018-12-04-05:42:03,tpch_3g,redshift,3,2.114
2018-12-04-05:42:03,tpch_3g,redshift,4,3.879
2018-12-04-05:42:03,tpch_3g,redshift,5,1.446
2018-12-04-05:42:03,tpch_3g,redshift,6,1.165
2018-12-04-05:42:03,tpch_3g,redshift,7,1.980
2018-12-04-05:42:03,tpch_3g,redshift,8,1.570
2018-12-04-05:42:03,tpch_3g,redshift,9,3.080
2018-12-04-05:42:03,tpch_3g,redshift,10,2.342
2018-12-04-05:42:03,tpch_3g,redshift,11,0.344
2018-12-04-05:42:03,tpch_3g,redshift,12,1.480
2018-12-04-05:42:03,tpch_3g,redshift,13,2.934
2018-12-04-05:42:03,tpch_3g,redshift,14,1.073
2018-12-04-05:42:03,tpch_3g,redshift,15,1.234
2018-12-04-05:42:03,tpch_3g,redshift,16,0.825
2018-12-04-05:42:03,tpch_3g,redshift,17,1.687
2018-12-04-05:42:03,tpch_3g,redshift,18,5.689
2018-12-04-05:42:03,tpch_3g,redshift,19,1.734
2018-12-04-05:42:03,tpch_3g,redshift,20,1.549
2018-12-04-05:42:03,tpch_3g,redshift,21,5.030
2018-12-04-05:42:03,tpch_3g,redshift,22,0.727
2018-12-04-05:42:56,tpch_3g,redshift,1,5.363
2018-12-04-05:42:56,tpch_3g,redshift,2,0.500
2018-12-04-05:42:56,tpch_3g,redshift,3,2.122
2018-12-04-05:42:56,tpch_3g,redshift,4,3.663
